Gene,Protein class
PTPRR,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
PTPRS,"Enzymes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins"
PTPRT,"Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
PTPRU,"Enzymes, Plasma proteins, Predicted membrane proteins"
PTPRZ1,"Enzymes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins"
PTRH1,"Enzymes, Predicted intracellular proteins"
PTRH2,"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
PTRHD1,"Enzymes, Predicted intracellular proteins"
PTS,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
PTTG1,"Cancer-related genes, Predicted intracellular proteins"
PTTG1IP,"Predicted intracellular proteins, Predicted membrane proteins"
PTTG2,Predicted intracellular proteins
PTX3,"Plasma proteins, Predicted secreted proteins"
PTX4,"Predicted intracellular proteins, Predicted secreted proteins"
PUDP,"Enzymes, Predicted intracellular proteins"
PUF60,"Disease related genes, Predicted intracellular proteins"
PUM1,Predicted intracellular proteins
PUM2,Predicted intracellular proteins
PUM3,Predicted intracellular proteins
PURA,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"
PURB,"Predicted intracellular proteins, Transcription factors"
PURG,"Predicted intracellular proteins, Transcription factors"
PUS1,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
PUS10,"Enzymes, Predicted intracellular proteins"
PUS3,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
PUS7,Predicted intracellular proteins
PUS7L,Predicted intracellular proteins
PUSL1,Predicted intracellular proteins
PVALB,Predicted intracellular proteins
PVALEF,Predicted intracellular proteins
PVR,"CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"
PVRIG,Predicted membrane proteins
PWP1,Predicted intracellular proteins
PWP2,Predicted intracellular proteins
PWWP2A,Predicted intracellular proteins
PWWP2B,Predicted intracellular proteins
PXDC1,Predicted intracellular proteins
PXDN,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"
PXDNL,"Enzymes, Predicted intracellular proteins"
PXK,"Enzymes, Predicted intracellular proteins"
PXMP2,"Predicted intracellular proteins, Predicted membrane proteins, Transporters"
PXMP4,"Predicted intracellular proteins, Predicted membrane proteins, Transporters"
PXN,Predicted intracellular proteins
PXT1,Predicted intracellular proteins
PXYLP1,Predicted intracellular proteins
PYCARD,Predicted intracellular proteins
PYCR1,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
PYCR2,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
PYCR3,"Enzymes, Predicted intracellular proteins"
PYDC1,Predicted intracellular proteins
PYDC2,Predicted intracellular proteins
PYGB,"Candidate cardiovascular disease genes, Enzymes, Plasma proteins, Predicted intracellular proteins"
PYGL,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
PYGM,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
PYGO1,Predicted intracellular proteins
PYGO2,Predicted intracellular proteins
PYHIN1,Predicted intracellular proteins
PYM1,Predicted intracellular proteins
PYROXD1,"Disease related genes, Predicted intracellular proteins"
PYROXD2,Predicted intracellular proteins
PYURF,Predicted intracellular proteins
PYY,Predicted secreted proteins
PZP,"Cancer-related genes, Plasma proteins, Predicted secreted proteins"
QARS,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
QDPR,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
QKI,"Cancer-related genes, Predicted intracellular proteins"
QPCT,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
QPCTL,"Enzymes, Predicted intracellular proteins"
QPRT,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"
QRFP,Predicted secreted proteins
QRFPR,"G-protein coupled receptors, Predicted membrane proteins"
QRICH1,Predicted intracellular proteins
QRICH2,Predicted intracellular proteins
QRSL1,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
QSER1,Predicted intracellular proteins
QSOX1,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"
QSOX2,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
QTRT1,"Enzymes, Predicted intracellular proteins"
QTRT2,Predicted intracellular proteins
R3HCC1,Predicted intracellular proteins
R3HCC1L,Predicted intracellular proteins
R3HDM1,Predicted intracellular proteins
R3HDM2,Predicted intracellular proteins
R3HDM4,Predicted intracellular proteins
R3HDML,Predicted secreted proteins
RAB10,Predicted intracellular proteins
RAB11A,Predicted intracellular proteins
RAB11B,Predicted intracellular proteins
RAB11FIP1,Predicted intracellular proteins
RAB11FIP2,Predicted intracellular proteins
RAB11FIP3,"Cancer-related genes, Predicted intracellular proteins"
RAB11FIP4,Predicted intracellular proteins
RAB11FIP5,"Plasma proteins, Predicted intracellular proteins"
RAB12,Predicted intracellular proteins
RAB13,Predicted intracellular proteins
RAB14,"Plasma proteins, Predicted intracellular proteins"
RAB15,Predicted intracellular proteins
RAB17,Predicted intracellular proteins
RAB18,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins"
RAB19,Predicted intracellular proteins
RAB1A,"Plasma proteins, Predicted intracellular proteins"
RAB1B,"Plasma proteins, Predicted intracellular proteins"
RAB20,"Plasma proteins, Predicted intracellular proteins"
RAB21,"Plasma proteins, Predicted intracellular proteins"
RAB22A,Predicted intracellular proteins
RAB23,"Disease related genes, Predicted intracellular proteins"
RAB24,Predicted intracellular proteins
RAB25,"Cancer-related genes, Predicted intracellular proteins"
RAB26,Predicted intracellular proteins
RAB27A,"Disease related genes, Predicted intracellular proteins"
RAB27B,"Plasma proteins, Predicted intracellular proteins"
RAB28,"Disease related genes, Predicted intracellular proteins"
RAB29,Predicted intracellular proteins
RAB2A,Predicted intracellular proteins
RAB2B,Predicted intracellular proteins
RAB30,Predicted intracellular proteins
RAB31,Predicted intracellular proteins
RAB32,"Plasma proteins, Predicted intracellular proteins"
RAB33A,Predicted intracellular proteins
RAB33B,"Disease related genes, Predicted intracellular proteins"
RAB34,Predicted intracellular proteins
RAB35,Predicted intracellular proteins
RAB36,Predicted intracellular proteins
RAB37,"Plasma proteins, Predicted intracellular proteins"
RAB38,Predicted intracellular proteins
RAB39A,Predicted intracellular proteins
RAB39B,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
RAB3A,Predicted intracellular proteins
RAB3B,Predicted intracellular proteins
RAB3C,Predicted intracellular proteins
RAB3D,"Plasma proteins, Predicted intracellular proteins"
RAB3GAP1,"Disease related genes, Predicted intracellular proteins"
RAB3GAP2,"Disease related genes, Predicted intracellular proteins"
RAB3IL1,Predicted intracellular proteins
RAB3IP,Predicted intracellular proteins
RAB40A,"Cancer-related genes, Predicted intracellular proteins"
RAB40AL,"Disease related genes, Predicted intracellular proteins"
RAB40B,Predicted intracellular proteins
RAB40C,Predicted intracellular proteins
RAB41,Predicted intracellular proteins
RAB42,Predicted intracellular proteins
RAB43,Predicted intracellular proteins
RAB4A,Predicted intracellular proteins
RAB4B,Predicted intracellular proteins
RAB5A,"Predicted intracellular proteins, RAS pathway related proteins"
RAB5B,"Predicted intracellular proteins, RAS pathway related proteins"
RAB5C,"Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"
RAB6A,Predicted intracellular proteins
RAB6B,Predicted intracellular proteins
RAB6C,Predicted intracellular proteins
RAB6D,Predicted intracellular proteins
RAB7A,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
RAB7B,Predicted intracellular proteins
RAB8A,Predicted intracellular proteins
RAB8B,Predicted intracellular proteins
RAB9A,Predicted intracellular proteins
RAB9B,Predicted intracellular proteins
RABAC1,"Predicted membrane proteins, Transporters"
RABEP1,"Cancer-related genes, Predicted intracellular proteins"
RABEP2,Predicted intracellular proteins
RABEPK,Predicted intracellular proteins
RABGAP1,"Predicted intracellular proteins, Predicted membrane proteins"
RABGAP1L,"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins"
RABGEF1,"Predicted intracellular proteins, Transporters"
RABGGTA,"Enzymes, Predicted intracellular proteins"
RABGGTB,"Enzymes, Predicted intracellular proteins"
RABIF,Predicted intracellular proteins
RABL2A,Predicted intracellular proteins
RABL2B,Predicted intracellular proteins
RABL3,Predicted intracellular proteins
RABL6,Predicted intracellular proteins
RAC1,"Cancer-related genes, Predicted intracellular proteins, RAS pathway related proteins"
RAC2,"Disease related genes, Predicted intracellular proteins, RAS pathway related proteins"
RAC3,"Predicted intracellular proteins, RAS pathway related proteins"
RACGAP1,Predicted intracellular proteins
RACK1,"Plasma proteins, Predicted intracellular proteins, Ribosomal proteins"
RAD1,"Enzymes, Predicted intracellular proteins"
RAD17,Predicted intracellular proteins
RAD18,"Enzymes, Plasma proteins, Predicted intracellular proteins"
RAD21,"Cancer-related genes, Disease related genes, Predicted intracellular proteins"
RAD21L1,Predicted intracellular proteins
RAD23A,"Cancer-related genes, Predicted intracellular proteins"
RAD23B,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"
RAD50,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
RAD51,"Cancer-related genes, Disease related genes, Predicted intracellular proteins"
RAD51AP1,Predicted intracellular proteins
RAD51AP2,Predicted intracellular proteins
RAD51B,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins"
RAD51C,"Disease related genes, Predicted intracellular proteins"
RAD51D,"Cancer-related genes, Disease related genes, Predicted intracellular proteins"
RAD52,"Cancer-related genes, Predicted intracellular proteins"
RAD54B,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"
RAD54L,Predicted intracellular proteins
RAD54L2,"Enzymes, Predicted intracellular proteins"
RAD9A,"Enzymes, Predicted intracellular proteins"
RAD9B,Predicted intracellular proteins
RADIL,Predicted intracellular proteins
RAE1,"Plasma proteins, Predicted intracellular proteins, Transporters"
RAET1E,"Predicted intracellular proteins, Predicted membrane proteins"
RAET1G,"Predicted membrane proteins, Predicted secreted proteins"
RAET1L,Predicted membrane proteins
RAF1,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, RAS pathway related proteins"
RAG1,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
RAG2,"Disease related genes, Predicted intracellular proteins"
RAI1,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
RAI14,Predicted intracellular proteins
RAI2,Predicted intracellular proteins
RALA,"Predicted intracellular proteins, RAS pathway related proteins"
RALB,"Predicted intracellular proteins, RAS pathway related proteins"
RALBP1,"Predicted intracellular proteins, RAS pathway related proteins, Transporters"
RALGAPA1,"Predicted intracellular proteins, Predicted membrane proteins"
RALGAPA2,"Predicted intracellular proteins, Predicted membrane proteins"
RALGAPB,"Plasma proteins, Predicted intracellular proteins"
RALGDS,"Predicted intracellular proteins, RAS pathway related proteins"
RALGPS1,Predicted intracellular proteins
RALGPS2,"Disease related genes, Predicted intracellular proteins"
RALY,"Plasma proteins, Predicted intracellular proteins"
RALYL,Predicted intracellular proteins
RAMP1,"FDA approved drug targets, Predicted membrane proteins"
RAMP2,"FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
RAMP3,"FDA approved drug targets, Predicted membrane proteins"
RAN,"Plasma proteins, Predicted intracellular proteins, Transporters"
RANBP1,"Plasma proteins, Predicted intracellular proteins"
RANBP10,Predicted intracellular proteins
RANBP17,"Predicted intracellular proteins, Predicted membrane proteins, Transporters"
RANBP2,"Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
RANBP3,"Cancer-related genes, Predicted intracellular proteins"
RANBP3L,Predicted intracellular proteins
RANBP6,Predicted intracellular proteins
RANBP9,Predicted intracellular proteins
RANGAP1,"Plasma proteins, Predicted intracellular proteins, Transporters"
RANGRF,Predicted intracellular proteins
RAP1A,"Predicted intracellular proteins, RAS pathway related proteins"
RAP1B,"Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"
RAP1GAP,Predicted intracellular proteins
RAP1GAP2,Predicted intracellular proteins
RAP1GDS1,"Cancer-related genes, Predicted intracellular proteins"
RAP2A,Predicted intracellular proteins
RAP2B,Predicted intracellular proteins
RAP2C,Predicted intracellular proteins
RAPGEF1,"Plasma proteins, Predicted intracellular proteins"
RAPGEF2,Predicted intracellular proteins
RAPGEF3,Predicted intracellular proteins
RAPGEF4,Predicted intracellular proteins
RAPGEF5,"Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"
RAPGEF6,Predicted intracellular proteins
RAPGEFL1,Predicted intracellular proteins
RAPH1,Predicted intracellular proteins
RAPSN,"Disease related genes, Predicted intracellular proteins"
RARA,"Cancer-related genes, Disease related genes, FDA approved drug targets, Nuclear receptors, Plasma proteins, Predicted intracellular proteins, Transcription factors"
RARB,"Cancer-related genes, Disease related genes, FDA approved drug targets, Nuclear receptors, Predicted intracellular proteins, Transcription factors"
RARG,"Cancer-related genes, FDA approved drug targets, Nuclear receptors, Plasma proteins, Predicted intracellular proteins, Transcription factors"
RARRES1,Predicted intracellular proteins
RARRES2,"Plasma proteins, Predicted secreted proteins"
RARRES3,"Predicted intracellular proteins, Predicted membrane proteins"
RARS,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
RARS2,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
RASA1,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"
RASA2,"Predicted intracellular proteins, RAS pathway related proteins"
RASA3,"Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"
RASA4,"Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"
RASA4B,"Predicted intracellular proteins, RAS pathway related proteins"
RASAL1,"Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"
RASAL2,"Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"
RASAL3,"Predicted intracellular proteins, RAS pathway related proteins"
RASD1,Predicted intracellular proteins
RASD2,Predicted intracellular proteins
RASEF,Predicted intracellular proteins
RASGEF1A,Predicted intracellular proteins
RASGEF1B,"Predicted intracellular proteins, Predicted membrane proteins"
RASGEF1C,Predicted intracellular proteins
RASGRF1,"Predicted intracellular proteins, RAS pathway related proteins"
RASGRF2,"Predicted intracellular proteins, RAS pathway related proteins"
RASGRP1,"Disease related genes, Predicted intracellular proteins, RAS pathway related proteins"
RASGRP2,"Disease related genes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"
RASGRP3,"Predicted intracellular proteins, RAS pathway related proteins"
RASGRP4,"Predicted intracellular proteins, RAS pathway related proteins"
RASIP1,Predicted intracellular proteins
RASL10A,Predicted intracellular proteins
RASL10B,Predicted intracellular proteins
RASL11A,Predicted intracellular proteins
RASL11B,Predicted intracellular proteins
RASL12,Predicted intracellular proteins
RASSF1,"Predicted intracellular proteins, RAS pathway related proteins"
RASSF10,Predicted intracellular proteins
RASSF2,Predicted intracellular proteins
RASSF3,Predicted intracellular proteins
RASSF4,Predicted intracellular proteins
RASSF5,"Predicted intracellular proteins, RAS pathway related proteins"
RASSF6,Predicted intracellular proteins
RASSF7,"Plasma proteins, Predicted intracellular proteins"
RASSF8,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
RASSF9,Predicted intracellular proteins
RAVER1,Predicted intracellular proteins
RAVER2,Predicted intracellular proteins
RAX,"Disease related genes, Predicted intracellular proteins, Transcription factors"
RAX2,"Disease related genes, Predicted intracellular proteins, Transcription factors"
RB1,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins"
RB1CC1,Predicted intracellular proteins
RBAK,"Predicted intracellular proteins, Transcription factors"
RBBP4,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"
RBBP5,Predicted intracellular proteins
RBBP6,"Enzymes, Predicted intracellular proteins"
RBBP7,Predicted intracellular proteins
RBBP8,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
RBBP8NL,Predicted intracellular proteins
RBBP9,Predicted intracellular proteins
RBCK1,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
RBFA,Predicted intracellular proteins
RBFOX1,Predicted intracellular proteins
RBFOX2,Predicted intracellular proteins
RBFOX3,Predicted intracellular proteins
RBKS,"Enzymes, Predicted intracellular proteins"
RBL1,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
RBL2,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"
RBM10,"Cancer-related genes, Disease related genes, Predicted intracellular proteins"
RBM11,Predicted intracellular proteins
RBM12,"Disease related genes, Predicted intracellular proteins"
RBM12B,Predicted intracellular proteins
RBM14,Predicted intracellular proteins
RBM15,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins"
RBM15B,Predicted intracellular proteins
RBM17,"Plasma proteins, Predicted intracellular proteins"
RBM18,Predicted intracellular proteins
RBM19,"Plasma proteins, Predicted intracellular proteins"
RBM20,"Disease related genes, Predicted intracellular proteins"
RBM22,Predicted intracellular proteins
RBM23,Predicted intracellular proteins
RBM24,Predicted intracellular proteins
RBM25,"Plasma proteins, Predicted intracellular proteins"
RBM26,"Plasma proteins, Predicted intracellular proteins"
RBM27,Predicted intracellular proteins
RBM28,"Disease related genes, Predicted intracellular proteins"
RBM3,Predicted intracellular proteins
RBM33,Predicted intracellular proteins
RBM34,Predicted intracellular proteins
RBM38,Predicted intracellular proteins
RBM39,"Plasma proteins, Predicted intracellular proteins"
RBM4,Predicted intracellular proteins
RBM41,Predicted intracellular proteins
RBM42,Predicted intracellular proteins
RBM43,Predicted intracellular proteins
RBM44,Predicted intracellular proteins
RBM45,"Plasma proteins, Predicted intracellular proteins"
RBM46,Predicted intracellular proteins
RBM47,Predicted intracellular proteins
RBM48,Predicted intracellular proteins
RBM4B,Predicted intracellular proteins
RBM5,Predicted intracellular proteins
RBM6,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"
RBM7,Predicted intracellular proteins
RBM8A,"Plasma proteins, Predicted intracellular proteins, Transporters"
RBMS1,Predicted intracellular proteins
RBMS2,"Plasma proteins, Predicted intracellular proteins"
RBMS3,Predicted intracellular proteins
RBMX,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins"
RBMX2,Predicted intracellular proteins
RBMXL1,Predicted intracellular proteins
RBMXL2,Predicted intracellular proteins
RBMXL3,Predicted intracellular proteins
RBMY1A1,Predicted intracellular proteins
RBMY1B,Predicted intracellular proteins
RBMY1D,Predicted intracellular proteins
RBMY1E,Predicted intracellular proteins
RBMY1F,Predicted intracellular proteins
RBMY1J,Predicted intracellular proteins
RBP1,Predicted intracellular proteins
RBP2,"Predicted intracellular proteins, Transporters"
RBP3,"Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins"
RBP4,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
RBP5,"Plasma proteins, Predicted intracellular proteins"
RBP7,Predicted intracellular proteins
RBPJ,"Disease related genes, Predicted intracellular proteins, Transcription factors"
RBPJL,"Predicted intracellular proteins, Transcription factors"
RBPMS,Predicted intracellular proteins
RBPMS2,Predicted intracellular proteins
RBSN,Predicted intracellular proteins
RBX1,"Enzymes, Plasma proteins, Predicted intracellular proteins"
RC3H1,Predicted intracellular proteins
RC3H2,"Enzymes, Predicted intracellular proteins, Transcription factors"
RCAN1,Predicted intracellular proteins
RCAN2,"Predicted intracellular proteins, Predicted membrane proteins"
RCAN3,Predicted intracellular proteins
RCBTB1,"Disease related genes, Predicted intracellular proteins"
RCBTB2,Predicted intracellular proteins
RCC1,"Plasma proteins, Predicted intracellular proteins"
RCC1L,Predicted intracellular proteins
RCC2,Predicted intracellular proteins
RCCD1,Predicted intracellular proteins
RCE1,"Enzymes, Predicted membrane proteins"
RCHY1,"Enzymes, Predicted intracellular proteins"
RCL1,"Plasma proteins, Predicted intracellular proteins"
RCN1,Predicted intracellular proteins
RCN2,Predicted intracellular proteins
RCN3,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
RCOR1,Predicted intracellular proteins
RCOR2,"Predicted intracellular proteins, Transcription factors"
RCOR3,"Predicted intracellular proteins, Transcription factors"
RCSD1,Predicted intracellular proteins
RCVRN,"Plasma proteins, Predicted intracellular proteins"
RD3,"Disease related genes, Predicted intracellular proteins"
RD3L,Predicted intracellular proteins
RDH10,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
RDH11,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
RDH12,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
RDH13,Predicted intracellular proteins
RDH14,Predicted intracellular proteins
RDH16,Predicted membrane proteins
RDH5,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
RDM1,"Predicted intracellular proteins, Predicted membrane proteins"
RDX,"Disease related genes, Predicted intracellular proteins"
REC114,Predicted intracellular proteins
REC8,"Plasma proteins, Predicted intracellular proteins"
RECK,"Plasma proteins, Predicted membrane proteins"
RECQL,"Enzymes, Plasma proteins, Predicted intracellular proteins"
RECQL5,"Enzymes, Plasma proteins, Predicted intracellular proteins"
REELD1,Predicted membrane proteins
REEP1,"Disease related genes, Predicted membrane proteins"
REEP2,"Disease related genes, Predicted membrane proteins"
REEP3,Predicted membrane proteins
REEP4,Predicted membrane proteins
REEP5,Predicted membrane proteins
REEP6,"Disease related genes, Predicted membrane proteins"
REG1A,"Plasma proteins, Predicted secreted proteins"
REG1B,"Predicted intracellular proteins, Predicted secreted proteins"
REG3A,"Plasma proteins, Predicted secreted proteins, Transporters"
REG3G,Predicted secreted proteins
REG4,Predicted secreted proteins
REL,"Cancer-related genes, Predicted intracellular proteins, RAS pathway related proteins, Transcription factors"
RELA,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, RAS pathway related proteins, Transcription factors"
RELB,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"
RELL1,Predicted membrane proteins
RELL2,"Predicted intracellular proteins, Predicted membrane proteins"
RELN,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
RELT,"Predicted intracellular proteins, Predicted membrane proteins"
REM1,Predicted intracellular proteins
REM2,Predicted intracellular proteins
REN,"Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted secreted proteins"
RENBP,"Enzymes, Predicted intracellular proteins"
REP15,Predicted intracellular proteins
REPIN1,Predicted intracellular proteins
REPS1,Predicted intracellular proteins
REPS2,Predicted intracellular proteins
RER1,"Predicted membrane proteins, Transporters"
RERE,"Disease related genes, Predicted intracellular proteins, Transcription factors"
RERG,Predicted intracellular proteins
RERGL,Predicted intracellular proteins
RESP18,Predicted intracellular proteins
REST,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"
RET,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
RETN,"Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins"
RETNLB,Predicted secreted proteins
RETREG1,"Disease related genes, Predicted membrane proteins"
RETREG2,"Predicted intracellular proteins, Predicted membrane proteins"
RETREG3,Predicted membrane proteins
RETSAT,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
REV1,Predicted intracellular proteins
REV3L,"Enzymes, Plasma proteins, Predicted intracellular proteins"
REX1BD,Predicted intracellular proteins
REXO1,Predicted intracellular proteins
REXO2,Predicted intracellular proteins
REXO4,Predicted intracellular proteins
REXO5,Predicted intracellular proteins
RFC1,"Plasma proteins, Predicted intracellular proteins"
RFC2,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
RFC3,Predicted intracellular proteins
RFC4,"Plasma proteins, Predicted intracellular proteins"
RFC5,"Plasma proteins, Predicted intracellular proteins"
RFESD,Predicted intracellular proteins
RFFL,"Enzymes, Predicted intracellular proteins"
RFK,"Enzymes, FDA approved drug targets, Predicted intracellular proteins"
RFLNA,Predicted intracellular proteins
RFLNB,Predicted intracellular proteins
RFNG,"Enzymes, Plasma proteins, Predicted intracellular proteins"
RFPL1,Predicted intracellular proteins
RFPL2,Predicted intracellular proteins
RFPL3,Predicted intracellular proteins
RFPL4A,Predicted intracellular proteins
RFPL4AL1,Predicted intracellular proteins
RFPL4B,Predicted intracellular proteins
RFT1,"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
RFTN1,Predicted intracellular proteins
RFTN2,Predicted intracellular proteins
RFWD3,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
RFX1,"Predicted intracellular proteins, Transcription factors"
RFX2,"Predicted intracellular proteins, Transcription factors"
RFX3,"Predicted intracellular proteins, Transcription factors"
RFX4,"Predicted intracellular proteins, Transcription factors"
RFX5,"Disease related genes, Predicted intracellular proteins, Transcription factors"
RFX6,"Disease related genes, Predicted intracellular proteins, Transcription factors"
RFX7,"Predicted intracellular proteins, Transcription factors"
RFX8,"Predicted intracellular proteins, Transcription factors"
RFXANK,"Disease related genes, Predicted intracellular proteins, Transcription factors"
RFXAP,"Disease related genes, Predicted intracellular proteins, Transcription factors"
RGCC,Predicted intracellular proteins
RGL1,"Predicted intracellular proteins, RAS pathway related proteins"
RGL2,"Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"
RGL3,Predicted intracellular proteins
RGL4,Predicted intracellular proteins
RGMA,"Predicted intracellular proteins, Predicted secreted proteins"
RGMB,"Predicted intracellular proteins, Predicted membrane proteins"
RGN,"Enzymes, Plasma proteins, Predicted intracellular proteins"
RGP1,Predicted intracellular proteins
RGPD1,Predicted intracellular proteins
RGPD2,Predicted intracellular proteins
RGPD3,Predicted intracellular proteins
RGPD4,Predicted intracellular proteins
RGPD5,Predicted intracellular proteins
RGPD6,Predicted intracellular proteins
RGPD8,Predicted intracellular proteins
RGR,"Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
RGS1,Predicted intracellular proteins
RGS10,Predicted intracellular proteins
RGS11,Predicted intracellular proteins
RGS12,"Plasma proteins, Predicted intracellular proteins"
RGS13,Predicted intracellular proteins
RGS14,Predicted intracellular proteins
RGS16,Predicted intracellular proteins
RGS17,Predicted intracellular proteins
RGS18,Predicted intracellular proteins
RGS19,Predicted intracellular proteins
RGS2,"Plasma proteins, Predicted intracellular proteins"
RGS20,"Plasma proteins, Predicted intracellular proteins"
RGS21,Predicted intracellular proteins
RGS22,Predicted intracellular proteins
RGS3,"Plasma proteins, Predicted intracellular proteins"
RGS4,"Disease related genes, Predicted intracellular proteins"
RGS5,Predicted intracellular proteins
RGS6,Predicted intracellular proteins
RGS7,"Plasma proteins, Predicted intracellular proteins"
RGS7BP,Predicted intracellular proteins
RGS8,Predicted intracellular proteins
RGS9,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
RGS9BP,"Disease related genes, Predicted membrane proteins"
RGSL1,"Predicted intracellular proteins, Predicted membrane proteins"
RHAG,"CD markers, Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
RHBDD1,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
RHBDD2,"Enzymes, Predicted membrane proteins"
RHBDD3,Predicted membrane proteins
RHBDF1,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
RHBDF2,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
