Gene,Protein class
ADCY5,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ADCY6,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ADCY7,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
ADCY8,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
ADCY9,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
ADCYAP1,Predicted secreted proteins
ADCYAP1R1,"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ADD1,"Plasma proteins, Predicted intracellular proteins"
ADD2,Predicted intracellular proteins
ADD3,"Disease related genes, Predicted intracellular proteins"
ADGB,"Enzymes, Predicted intracellular proteins"
ADGRA1,"G-protein coupled receptors, Predicted membrane proteins"
ADGRA2,"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins"
ADGRA3,"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins"
ADGRB1,"Cancer-related genes, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins"
ADGRB2,"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ADGRB3,"G-protein coupled receptors, Plasma proteins, Predicted membrane proteins"
ADGRD1,"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins"
ADGRD2,"G-protein coupled receptors, Predicted membrane proteins"
ADGRE1,"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ADGRE2,"CD markers, Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins"
ADGRE3,"G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins"
ADGRE5,"CD markers, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters"
ADGRF1,"G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins"
ADGRF2,"G-protein coupled receptors, Predicted membrane proteins"
ADGRF3,"G-protein coupled receptors, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
ADGRF4,"G-protein coupled receptors, Predicted membrane proteins"
ADGRF5,"G-protein coupled receptors, Plasma proteins, Predicted membrane proteins"
ADGRG1,"Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"
ADGRG2,"Disease related genes, G-protein coupled receptors, Plasma proteins, Potential drug targets, Predicted membrane proteins"
ADGRG3,"G-protein coupled receptors, Plasma proteins, Predicted membrane proteins"
ADGRG4,"G-protein coupled receptors, Plasma proteins, Predicted membrane proteins"
ADGRG5,"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins"
ADGRG6,"Disease related genes, G-protein coupled receptors, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ADGRG7,"G-protein coupled receptors, Predicted membrane proteins"
ADGRL1,"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins"
ADGRL2,"G-protein coupled receptors, Predicted membrane proteins"
ADGRL3,"G-protein coupled receptors, Plasma proteins, Predicted membrane proteins"
ADGRL4,"G-protein coupled receptors, Plasma proteins, Predicted membrane proteins, Transporters"
ADGRV1,"Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ADH1A,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"
ADH1B,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"
ADH1C,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"
ADH4,"Enzymes, Plasma proteins, Predicted intracellular proteins"
ADH5,"Enzymes, Plasma proteins, Predicted intracellular proteins"
ADH6,"Enzymes, Predicted intracellular proteins"
ADH7,"Enzymes, Predicted intracellular proteins"
ADHFE1,"Enzymes, Predicted intracellular proteins"
ADI1,"Enzymes, Predicted intracellular proteins"
ADIG,"Predicted intracellular proteins, Predicted membrane proteins"
ADIPOQ,"Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins, Transporters"
ADIPOR1,"Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ADIPOR2,Predicted membrane proteins
ADIRF,"Plasma proteins, Predicted intracellular proteins"
ADK,"Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins"
ADM,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
ADM2,Predicted secreted proteins
ADM5,Predicted secreted proteins
ADNP,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"
ADNP2,"Predicted intracellular proteins, Transcription factors"
ADO,"Enzymes, Predicted intracellular proteins"
ADORA1,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters"
ADORA2A,"Cancer-related genes, FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ADORA2B,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"
ADORA3,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"
ADPGK,"Enzymes, Predicted intracellular proteins"
ADPRH,"Enzymes, Predicted intracellular proteins"
ADPRHL1,Predicted intracellular proteins
ADPRHL2,"Enzymes, Predicted intracellular proteins"
ADPRM,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
ADRA1A,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"
ADRA1B,"Cancer-related genes, FDA approved drug targets, G-protein coupled receptors, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
