Gene Name,GenBank Gene ID,Drug IDs
SCN10A,AF117907,DB00281; DB00296; DB00297; DB00473; DB00527; DB00645; DB00721; DB00807; DB00892; DB00961; DB01002; DB01086; DB01161; DB01173; DB06218
SLC16A2,U05321,DB00119
CPT2,U09648,DB00583; DB01074
GLUD1,X07674,DB00142; DB00157; DB00756; DB11081
PNPO,AF468030,DB00114; DB03247
PDE5A,AF043731,DB00203; DB00277; DB00820; DB00862; DB00975; DB06237; DB06267; DB12010
CD22,X59350,DB05889; DB12688
HSD17B7,AF098786,DB00157
GSS,L42531,DB00143; DB00145; DB00151; DB06151; DB09130
rpoC,,DB01201
ASPA,S67156,DB00128; DB01593; DB14487; DB14533; DB14548
EPRS,X54326,DB00142
SCNN1A,X76180,DB00384; DB00594
NDUFS3,AF067139,DB00157
SCN11A,AF188679,DB00909
ALDH3B2,U37519,DB00157; DB09116
HSD17B1,X13440,DB00157
SLC16A4,U59185,DB00119
MT-ND3,J01415,DB00157
SCN5A,M77235,DB00192; DB00252; DB00280; DB00281; DB00379; DB00473; DB00527; DB00532; DB00680; DB00740; DB00750; DB00754; DB00868; DB00908; DB00909; DB01035; DB01056; DB01182; DB01195; DB01228; DB01320; DB01346; DB01426; DB04855; DB06217; DB11633
KARS,D31890,DB00123
LIG1,M36067,DB00290
SLC25A15,AF112968,DB00129
GNRHR,L03380,DB00007; DB00014; DB00050; DB00106; DB00644; DB00666; DB01406; DB06699; DB06719; DB06785; DB06788; DB06825; DB11619; DB11853; DB11979
PDGFRB,J03278,DB00102; DB00398; DB00619; DB01254; DB01268; DB06589; DB06595; DB08896; DB09079; DB10770; DB12010; DB12147; DB12978; DB14840; DB15822
RARB,X07282,DB00210; DB00459; DB00523; DB00755; DB00799; DB12808
ABCC8,L78243,DB00222; DB00672; DB00731; DB00912; DB01067; DB01120; DB01124; DB01251; DB01382
GPD1,L34041,DB00157; DB00331
SERPINA6,J02943,DB01593; DB09130; DB14487; DB14533; DB14548
KCNK2,AF129399,DB00204; DB04855
PLG,X05199,DB00009; DB00013; DB00015; DB00029; DB00031; DB00086; DB00302; DB00513; DB06692; DB09130
SLC7A1,X59155,DB00123; DB00129
NDUFA6,AF047182,DB00157
