Gene Name,GenBank Gene ID,Drug IDs
MAOA,M68840,DB00191; DB00752; DB00780; DB00805; DB00909; DB01037; DB01171; DB01247; DB01577; DB01626; DB03147; DB04820; DB04821; DB04832; DB14914
PAM,M37721,DB00126
P3H1,AF097431,DB00126
OGFOD2,BX640675,DB00126
XDH,D11456,DB00437; DB00583; DB03147; DB04854
ALKBH2,AY754389,DB00126
P3H2,AJ430351,DB00126
P3H3,U47924,DB00126
OGFOD1,BC032919,DB00126
EGLN2,AJ310544,DB00126
CDK6,X66365,DB09073; DB11730; DB12001
ALKBH3,AB042029,DB00126
ADA,X02994,DB00552; DB00975
KDM5D,U52191,DB00126
CDK4,M14505,DB09073; DB11730; DB12001; DB12010
EGLN1,AF246631,DB00126; DB01592; DB14488; DB14489; DB14490; DB14491; DB14501
KCNJ5,U39195,DB00898
EGLN3,AJ310545,DB00126
TMLHE,AF373407,DB00126
P4HTM,AY198406,DB00126
PAICS,X53793,DB00128
CACNA1B,M94172,DB00381; DB00661; DB01202; DB06283
ADSS,X66503,DB00128
DARS2,AL109921,DB00128
ASRGL1,BC021295,DB00128; DB00174
PFAS,AB002359,DB00142
GLUL,Y00387,DB00130; DB00142
NADSYN1,AB091316,DB00142
FADS2,AF126799,DB00132
ELOVL4,AF279654,DB09568
BHMT2,AF257473,DB00134
SDHD,AB006202,DB00756
SUCNR1,AF348078,DB00139
B4GALT4,AF038662,DB00141
NAGK,AJ242910,DB00141
NAGPA,AF187072,DB00141
SLC1A7,U76362,DB00142
OPLAH,AB122018,DB00142
SLC1A6,U18244,DB00142
ENPEP,L14721,DB00142
EARS2,AL832489,DB00142
NAGS,AY116537,DB00142
DNPEP,AF005050,DB00142
MGST3,AF026977,DB00143
GSTA1,M15872,DB00143
MGST1,J03746,DB00143; DB03310
ESD,M13450,DB00143
GLRX,D21238,DB00143
GSTM5,L02321,DB00143
GPX6,AY324826,DB00143
GPX1,BC070258,DB00143
GPX7,AF320068,DB00143
MGST2,U77604,DB00143
GSTO2,AY350731,DB00143
GLRX2,AF132495,DB00143
BAAT,L34081,DB00145
GPR18,L42324,DB00145; DB09061
GLYAT,AF023466,DB00145
GLYATL2,AF426250,DB00145
GLYATL1,DQ084381,DB00145
PIPOX,AF134593,DB00145
WARS2,AJ242739,DB00150
CARS2,AK022180,DB00151
TARS2,AK222814,DB00156
DHRS3,AF061741,DB00162
RETSAT,AY358568,DB00162
RDH11,AF167438,DB00162
RDH14,AF237952,DB00162
RDH8,AF229845,DB00162
DGKA,X62535,DB00163
PPP2CB,X12656,DB00163
PPP2CA,X12646,DB00163
LIAS,BC023635,DB00166
VKORC1L1,AY423045,DB00170
NARS2,BC007800,DB00174
GABBR2,AJ012188,DB00181; DB02530
CHRNA7,X70297,DB00122; DB00184; DB00241; DB00306; DB00312; DB00333; DB00418; DB00514; DB00599; DB00657; DB00674; DB00794; DB00849; DB00898; DB00915; DB01174; DB01199; DB01273; DB01351; DB01353; DB03128; DB09061; DB14006
CHRNA9,AJ243342,DB00184; DB00898
GABRB1,X14767,DB00431; DB00898; DB01440
GABRB3,M82919,DB00431; DB00592; DB00602; DB00818; DB00898; DB06716
GABRB2,S67368,DB00395; DB00818; DB00898; DB01381; DB06716
PSMB1,D00761,DB00188; DB08889
PSMB5,D29011,DB00188; DB08889
PSMB2,D26599,DB08889
cft,AF222787,DB00638
PDE4C,Z46632,DB00651; DB01088; DB01656; DB05219
CACNB2,S60415,DB00270; DB00393; DB00401; DB00622; DB01023; DB01054; DB01115; DB04855; DB06712
CACNA1S,U30707,DB00270; DB00393; DB00401; DB00568; DB00898; DB01023; DB01054; DB01115; DB04855; DB04920; DB06712; DB09090
CACNB4,U95020,DB00393; DB04855
CACNA1F,AJ006216,DB00393; DB00568; DB04855; DB04920
CACNB3,X76555,DB00393; DB04855
CACNA1D,M76558,DB00270; DB00393; DB00401; DB00568; DB00622; DB00898; DB01023; DB01054; DB01115; DB04855; DB04920; DB06712; DB09237
,Z30658,DB00359; DB00664; DB01145; DB01299; DB06147
ydbK,U00096,DB00698
CYP3A5,J04813,DB09061
CYP2D6,M20403,DB09061; DB11994
POR,S90469,DB03147; DB03247
HDAC1,U50079,DB01169; DB01593; DB02546; DB06176; DB08868; DB14487; DB14533; DB14548
HDAC2,U31814,DB00175; DB00227; DB00277; DB00313; DB00641; DB01076; DB01095; DB01223; DB01303; DB02546; DB06176; DB09091
HDAC3,U66914,DB02546
HDAC6,AF132609,DB02546; DB06176; DB13346
CALCB,BC092468,DB14040; DB14041; DB14042
FNTB,L00635,DB06448
FNTA,L10413,DB06448
HIF1A,U22431,DB01136; DB01275
PTGER3,S69200,DB00905; DB00917; DB00929; DB08964; DB11113
OPRL1,X77130,DB00921
PIK3CA,Z29090,DB00201; DB12015; DB12483
PIK3R2,X80907,DB01064
PIK3R3,D88532,DB01064
PRKDC,U47077,DB00201
MTOR,L34075,DB00337; DB00877; DB01590; DB06287; DB12010
NFKB2,X61498,DB01296
gyrB,X71437,DB01051
RHD,AM491130,DB11597
SOD1,L44139,DB00988; DB01064; DB01593; DB09061; DB14487; DB14533; DB14548
mecA,AB063172,DB04918
pbpX,AE005672,DB01150; DB04918
ftsI,K00137,DB00267; DB00274; DB00303; DB00430; DB00438; DB01327; DB01328; DB01329; DB01331; DB01413; DB01415; DB01416; DB04918
CDC60,AF293346,DB09041
CACNA2D2,AJ251368,DB00270; DB00996; DB01023; DB01054; DB01244; DB08872
KCNQ3,AF071491,DB00321; DB00939; DB00996; DB04953
KCNQ4,AF105202,DB04953
KCNQ5,AF249278,DB00996; DB04953
RPSA,J03799,DB09130
NS5b,Z97730,DB08934
PIK3CD,Y10055,DB00201; DB09054; DB11952; DB12010; DB12483
PIK3CB,S67334,DB00201
JAK2,AF058925,DB08877; DB08895; DB11817; DB11986; DB12010; DB12500; DB15035; DB15822
RET,X12949,DB00398; DB05294; DB08875; DB08896; DB08901; DB09078; DB12010; DB15685; DB15822
HLA-DRB1,,DB05259
PRKCD,L07860,DB05013; DB12010
NPY2R,U36269,DB00847
IL4R,X52425,DB12159
GLA,X05790,DB05018
TOP2B,X68060,DB00380; DB00694; DB00773
NPR3,X52282,DB04899
S gene,X75668,DB05276
FBP1,L10320,DB00131
S1PR5,AF331840,DB08868; DB12371; DB12612
CYP1A2,Z00036,DB00951; DB09061; DB11994
HNMT,D16224,DB00613
CA9,X66839,DB00562; DB00774; DB00909; DB09460
KLKB1,M13143,DB01593; DB05311; DB06404; DB09228; DB14487; DB14533; DB14548; DB14597; DB15982
KCNJ8,D50312,DB00914; DB00922; DB01154; DB01251
TLR4,U93091,DB00924; DB01183; DB03017; DB11193; DB13615
CDA,L27943,DB15694
EPCAM,M32325,DB06607; DB09336; DB11075
MC1R,X65634,DB04931; DB11653
TERT,AF015950,DB00495
RRM2,X59618,DB00242; DB05260
EPHB4,U07695,DB01254; DB12010
SERPING1,X54486,DB09130
KRT7,AJ238246,DB01087
rplV,AE005174,DB01369
P4HB,X05130,DB01593; DB03615; DB09130; DB14487; DB14533; DB14548
VDAC1,L06132,DB09061
dacA,AE014075,DB01147
HTATIP2,U69161,DB11077
,Z21818,DB13979
PTGES3,L24804,DB00316; DB09130
GDNF,L19063,DB09301
HGPRTase,L07486,DB01632
trpD,AY064465,DB01632
rmlA,AE004091,DB04272
onr,U68759,DB03247
mmaA2,BX842574,DB01718
TRDMT1,AF012128,DB00738; DB09462
guaA,M10101,DB04272
,AE000512,DB03247; DB04272
glnA1,,DB04272
glnA1,,DB04272
dhaB1,AY112989,DB01839
aac,,DB03615
fprA,AF202316,DB03247
azoR,D85081,DB03247
bphA4,D16831,DB03147
npr,X62755,DB03147
nadD,AE005674,DB04272
lpdV,M57613,DB03147
pheA2,AF140605,DB03147
frp,U08996,DB03247
CYP3A4,M18907,DB00143; DB00951
AMY2A,M18785,DB00284; DB03088
CASK,AF032119,DB12010
GPHN,AF272663,DB03766
,AE016877,DB04272
GST,AF426836,DB00608
por,Y09702,DB00507; DB01987
,AF144881,DB03615
cit,AB040146,DB04272
gltA,U85944,DB04272
CES1,M73499,DB00382; DB00454; DB00583; DB00647; DB00907; DB01183; DB01452; DB01599; DB02659; DB04838
ptd,AY064166,DB00173
,J04033,DB03247
blaCTX-M-9a,AF252621,DB02772
cumD,D83955,DB03766; DB03793
mutY,X52391,DB00173; DB09462
yfiH,U50134,DB04272
xlnA,M64551,DB04465
,,DB03147
sacB,Z94043,DB02772
PECR,AJ250303,DB00173
ruvB,AB015236,DB00173
CYP2C9,AY341248,DB11994
acuC1,AE000657,DB02546
nir,AF051831,DB03088
DCK,M60527,DB01073
IGHG1,,DB09130
bgl3,Z29625,DB02772
ams,AJ011781,DB02772
,,DB02772; DB09060; DB12107; DB12377
blaCTX-M-14,,DB02772; DB09060; DB12107; DB12377
blaCTX-M-27,,DB02772; DB09060; DB12107; DB12377
hmuO,U73860,DB02772
ATOX1,U70660,DB00515; DB02772
,,DB02772
scrY,X57400,DB02772
env,M21098,DB11796
,AE004272,DB02893
gltS,X92480,DB03247
APOH,X53595,DB09130
AZGP1,D90427,DB09130
IL6R,X12830,DB06273; DB11767; DB15762
ifcA,AJ236923,DB03147
CYP2C8,M17397,DB00951; DB03796
cycA,BX572597,DB03088
hmp,X58872,DB03147
ppcA,AF505790,DB03619
,,DB04272
,,DB03147
,,DB03088
,,DB03088
CCL8,Y10802,DB03088
,,DB03088
S100A6,M14300,DB11093; DB11348; DB14481
ITEVIR,M12742,DB04272
dmg,AF329477,DB03147
petH,X72394,DB03147
cysJ,M23008,DB03147
fpr,L36319,DB03147
,M37307,DB03147
,AE016853,DB03147
phrB,K01299,DB03147
phr,X07230,DB03147
nadB,X12714,DB03147
cry,,DB03147
murB,M10123,DB03147
murB,BA000033,DB03147
metF,AB029373,DB03147
camA,J05406,DB03147
lpdA,,DB03147
glf,,DB03147
abfD,AJ250267,DB03147
pchF,U96338,DB03147
ahpF,AE008724,DB03147
m-6,X77920,DB03147
GR2,X93462,DB03147
pamO,CP000088,DB03147
benC,AF009224,DB03147
,AE017221,DB03147
fkbI,AF235504,DB03147
lpd,M28356,DB03147
ahpF,D13187,DB03147
petH,BA000019,DB03147
fpr,L04757,DB03147
mrsD,AJ250862,DB03147
rocF,U48226,DB00536
phzG,AF005404,DB03247
PPI,AF164202,DB05260
azoR,AE008772,DB03247
epiD,X62386,DB03247
aroC,AE000511,DB03247
isiB,X14577,DB03247
isiB,M19116,DB03247
,AE014875,DB03247
moxC,AF008220,DB03247
,AE000512,DB03247
nrdI,Z68500,DB03247
ecdB,AJ006210,DB03247
mdlB,AY143338,DB03247
azr,Y14079,DB03247
fldA,AE001439,DB03247
nfsB,M63808,DB03247; DB03793
fni,AE017222,DB03247
tmd,X68079,DB03247
roo,AF218053,DB03247
morB,U37350,DB03247
phzG,L48616,DB03247
,AE001825,DB03247
fldA,M59426,DB03247
fni,AB047343,DB03247
nox,X60110,DB03247
,D21804,DB03247
,AE016877,DB03247
PPCDC,AY358848,DB03247
,,DB04465
CBR1,J04056,DB01698; DB11672
clpX,AE000511,DB09275
PTK2,L13616,DB12010
PAPSS1,Y10387,DB09462
NME1,X75598,DB01593; DB09130; DB14487; DB14533; DB14548
,AB034727,DB04272
PGF,BC007255,DB08885
NEIL1,AB079068,DB01592; DB09130; DB14488; DB14489; DB14490; DB14491; DB14501
cpo,AF031242,DB03793
chqB,AY822041,DB03793
repA,X58896,DB03793
HNF4G,Z49826,DB03796
,,DB03796
TRAPPC3,AJ224335,DB03796
,AE000512,DB03796
shp,M81255,DB03929
NEU2,Y16535,DB00198; DB00558
ANXA3,M20560,DB00591; DB09095
nrdB,K02672,DB09462
lamB,M26131,DB04173
,M17448,DB04272
12,X06792,DB04272
purE,DQ059549,DB04272
rplD,Z21677,DB04272
CPB1,M81057,DB04272
,J01917,DB04272
bfrA,AJ001073,DB04272
sspA,AE009952,DB04272
rtcA,U00096,DB04272
PLEKHA1,AF286160,DB04272
fbpA,M33815,DB04272
ftsY,AE000512,DB04272
nusB,AE000512,DB04272
C8G,M17263,DB01593; DB03017; DB04272; DB14487
nrdF,AL583923,DB04272
rpiA,L42023,DB04272
17,X87673,DB04272
,AE000512,DB04272
pcaB,L17082,DB04272
pdc,M15368,DB04272
licC,AE005672,DB12153
ipdC,D90214,DB01987
ceaS,U87786,DB01987
tktA,X68025,DB01987
,AE000513,DB04398
RNASE1,D26129,DB00128; DB00536; DB04272
PDE1B,U56976,DB00622; DB01023; DB01244
ribC,X69109,DB00140
WEE1,U10564,DB12010
SIRT5,AF083110,DB02701
MAEA,AK001088,DB05389
CD163,BC051281,DB05389
LEPR,U43168,DB09046
TEK,L06139,DB00415; DB05294; DB08896; DB08901; DB12010; DB14840
TP53,X02469,DB00945; DB01593; DB14487; DB14533; DB14548
CHEK2,AF086904,DB12010
CHEK1,AF016582,DB12010
GHSR,U60179,DB13074
MT-CO2,V00662,DB02659
MAPK11,U53442,DB08896
MAPK13,Y10488,DB12010
APP,X06989,DB00746; DB01370; DB01593; DB03754; DB06782; DB09130; DB09148; DB09149; DB09151; DB14487; DB14517; DB14518; DB14533; DB14548
BDNF,M37762,DB09130; DB09301; DB11823
ponA,X67873,DB01150
FFAR4,AY288417,DB13961
CDH5,X79981,DB00480
AURKB,AF008552,DB04703; DB12010
FOLR1,M28099,DB00158
CPB2,M75106,DB11311
BIRC5,U75285,DB00206; DB04115
ITGB7,S80335,DB09033
IL23A,AF301620,DB11834
TRPV3,AJ487035,DB00825; DB01744; DB09061; DB09086
FUBP1,U05040,DB12893
HMGB1,X12597,DB00608
PDE4,DQ008164,DB01064
MAP3K1,AF042838,DB11967; DB12010
PRKCE,X65293,DB12010
PDCD1,L27440,DB09035; DB09037; DB14707
CHRNA7,AY641831,DB00193; DB00202; DB01043; DB01221
MPL,M90102,DB05332; DB06210; DB11995; DB13125
CD274,BC113736,DB11595; DB11714; DB11945
GPER1,BC011634,DB00783; DB13952; DB13953; DB13954; DB13955; DB13956
APOA1,BC110286,DB01593; DB09130; DB14487; DB14533; DB14548
C3,AY513239,DB00028; DB01593; DB09130; DB14487; DB14533; DB14548
CD3D,X01451,DB00075; DB09052
CD3G,BC113830,DB00075
CD247,BC025703,DB00075
NFKBIA,BC004983,DB00945
IL5RA,AY642135,DB12023
MAPT,BN000503,DB00448; DB00637; DB01229; DB01248; DB14914
MAP4,BC015149,DB01229; DB01248
NPY,BC029497,DB00191
MCHR1,U71092,DB00502
TNFRSF8,AY498860,DB08870
CYP26A1,AF005418,DB00755
HLA-A,AF226843,DB11294
HLA-A,AF226843,DB11294
IL15,Z38000,DB01327
CD4,BC025782,DB00098; DB12698
INS,AJ009655,DB01593; DB14487; DB14533; DB14548
SLAMF7,BC027867,DB06317
JAK3,U57096,DB08895; DB11817; DB12010; DB15035
CD19,BC006338,DB09052; DB12530; DB13881; DB13915; DB15044; DB15699
GUCY2C,U20230,DB08890
CPN1,BC027897,DB01593; DB14487; DB14533; DB14548
CPN2,BC042334,DB01593; DB14487; DB14533; DB14548
PTH1R,BC112247,DB05084; DB05829; DB06285
BCL2L1,BC019307,DB09401
MCL1,AF118278,DB09401
BDKRB2,BC074895,DB06196
TNFSF11,AF013171,DB00480; DB06643
TLR8,BC101077,DB00724
MLNR,AL137000,DB00199
PTGER4,BC113523,DB00917; DB00929; DB11113
HDAC4,AF132607,DB01593; DB06176; DB14487; DB14533; DB14548
NA,M54967,DB00558; DB06614
SSTR2,BC095495,DB06663; DB06791; DB09099; DB13925; DB13985; DB15494; DB15873
SSTR3,BC096829,DB06663; DB09099; DB13985; DB15494
CTRB1,BC005385,DB06692
CYP2E1,J02625,DB11994
CYP2C19,M61854,DB00951
CYP11A1,M14565,DB00357
UGT1A9,S55985,DB04824
AOX1,L11005,DB00924
ADK,U50196,DB00131
UGT1A1,M57899,DB12010
CYP11B2,X54741,DB00421; DB11837
CYP2B6,M29874,DB04794
CXCR1,L19591,DB01009
ASMT,U11090,DB01065
RORB,Y08639,DB01065
EPX,X14346,DB01065
PDE6G,M36476,DB00203; DB00862
PDE6H,D45399,DB00203; DB00862
PDE11A,AB036704,DB00820
PGD,U30255,DB00789; DB00851; DB00920
PTGR2,AY346133,DB00328
PTGDR2,AB008535,DB00328; DB00605; DB00770; DB00917; DB01088; DB12789
CACNA2D3,AJ272268,DB00381; DB06712
PDE1A,U40370,DB00622; DB01023; DB01244
TNNC2,X07898,DB01023
PTPRS,U35234,DB00630; DB01077
PTPRE,X54134,DB00630; DB01133
ATP6V1A,L09235,DB00630; DB01077
GGPS1,AB017971,DB00282; DB00399; DB00710
RHOB,X06820,DB00083
MR1,U22963,DB00098
ITGB1,X07979,DB00098
ITGAV,M14648,DB00098; DB00451
mecA,,DB00274; DB00430; DB01000; DB01607
GUCY1A2,X63282,DB00435; DB01020; DB08931; DB09241; DB09282; DB13170
mrdA,X04516,DB00303; DB00438; DB00948; DB01327; DB01328; DB01329; DB01413; DB01415; DB01598; DB06211; DB09050
NISCH,AF082516,DB00697; DB09242
KCNK3,AF006823,DB00561; DB01159
KCNK9,AF212829,DB00561; DB01159
CHRNB4,U62439,DB00184; DB00472; DB00514; DB00898; DB01090; DB01227
CHRNA3,M86383,DB00184; DB00333; DB00472; DB00514; DB00848; DB00898; DB00915; DB01090; DB01156; DB01227; DB01273
CHRNA5,M83712,DB00184; DB00898
CHRNA6,U62435,DB00184; DB00898; DB01273
CHRNB3,U62438,DB00184; DB00898
FABP2,BC069466,DB01050; DB09213
GABRG2,X15376,DB00395; DB00425; DB01205; DB01381
GABRG1,AK122845,DB00898
GABRG3,S82769,DB00898
GABRE,U66661,DB00898
GABRP,U95367,DB00898
GABRQ,AF189259,DB00898
GABRD,AF016917,DB00898
LALBA,,DB03796
S100A2,M87068,DB00768; DB01593; DB09130; DB14487; DB14533; DB14548
KCND2,AF121104,DB00280; DB00458; DB06637
KCND3,AF048712,DB00280; DB00458; DB01115; DB04855; DB06217; DB06637; DB11633
NTRK2,U12140,DB00321; DB11823; DB11986; DB12010; DB14723
AKR1D1,Z28339,DB00548; DB01216
CYP3A7,D00408,DB09061
RRM2B,AB036063,DB00242
POLE,L09561,DB00242
POLE2,AF025840,DB00242
POLE4,BC031331,DB00242
POLE3,AF226077,DB00242
mecA,X52593,DB00417; DB01603
LIPF,X05997,DB01083
penA,M32091,DB00535
pbp3,,DB00535
IGF2R,Y00285,DB01277; DB13173; DB14751
penA,X16022,DB00319; DB00415; DB00456; DB00485; DB00493; DB00567; DB00607; DB00713; DB00739; DB01066; DB01140; DB01212; DB01331; DB01603
CA3,AK313254,DB00273; DB00391; DB00482; DB00580; DB00703; DB00819; DB00869; DB00909; DB01144; DB01194
CA5A,L19297,DB00909; DB01194
CA5B,AB021660,DB00909
CA6,,DB00909; DB06795
CA7,AY075019,DB00703; DB00774; DB00819; DB00909; DB01144
CA8,L04656,DB00909
CA10,AB036836,DB00909
CA11,AF067662,DB00909
CA13,AK095314,DB00909
CA14,AB025904,DB00819; DB00909
SCN1B,L10338,DB00252; DB00909
SCN2B,AF007783,DB00909
SCN3B,AJ243396,DB00909
SCN4B,AY149967,DB00909
ABCC5,AF104942,DB11672
SLC22A8,AF097491,DB00493; DB01032; DB01053; DB01212; DB01241; DB11995
SLC22A7,AF097518,DB00493
SLCO1B3,AJ251506,DB01211; DB01241
ORM2,BC015964,DB00280; DB00281; DB00458; DB01593; DB14487; DB14533; DB14548
rplD,X02613,DB13179
rpmF,D63900,DB13179
rpsJ,U36504,DB01421
dacC,X06480,DB00274; DB00303; DB00430; DB01329; DB01331; DB01332
mrcA,U73780,DB00430; DB01329; DB14879
ponB,AF147449,DB00430; DB00438; DB01329; DB09050; DB14879
pbpA,AP006841,DB00923; DB01326
rpoC,V00339,DB00615; DB11753
rpsN,X01563,DB00560; DB00759; DB09093; DB12455; DB12615
rpsM,X02543,DB00560
rpsS,X02613,DB00560; DB00759; DB09093; DB12455
TUBD1,AF201333,DB00570
TUBE1,AF201334,DB00570
TUBG1,M61764,DB00570
PANX1,AF093239,DB01032
AHR,D16354,DB00338; DB00379; DB00393; DB00499; DB01076; DB01097; DB01404; DB08995; DB11577; DB12328
ESRRA,X51416,DB00197; DB00255; DB07776
pbpC,U88571,DB01327; DB09050
gyrA,AE005672,DB01044; DB06771
gyrB,X83917,DB01044
parC,Z67739,DB01044; DB06771
parE,Z67739,DB01044
ADCY2,AF410885,DB09121
ADCY5,AF497517,DB09121
cmaA1,,DB01718
NCOA2,X97674,DB00255; DB13952; DB13953; DB13954; DB13955; DB13956
PLK1,U01038,DB12010
LYZ,,DB00128; DB02772; DB03175
S100A7,M86757,DB01050; DB01593; DB09213; DB14487; DB14533; DB14548
PRKACA,X07767,DB12010
HAO1,AF244134,DB03247; DB15935
PLA2G2E,AF189279,DB00233; DB03585; DB04743; DB09462
MAPK9,L31951,DB12010
HSPA8,AB034951,DB01254; DB09130
B2M,AY187687,DB09130
NR1H3,U22662,DB11994
TGFBR1,L11695,DB12010
npr,X76986,DB03255; DB06819
ACP1,M83653,DB00173
DAPK3,AB007144,DB12010
MAPK8IP1,AF074091,DB11157
MAPK8,L26318,DB00675
TTK,M86699,DB12010
CAMK2B,AF078803,DB12010
NEK2,Z29066,DB12010
PARP2,AJ236912,DB09074; DB11760; DB11793; DB12332
rep,,DB14761
ATP6V1B2,M60346,DB05260
ARF1,M36340,DB09462
RPL3,X73460,DB04865; DB09092
,Z00020,DB00693
ERN1,AF059198,DB12010
TPI1,M10036,DB01593; DB14487; DB14533; DB14548
NR1I3,Z30425,DB00366; DB00737; DB00836; DB01026; DB01076; DB01620; DB01708; DB04540; DB04824; DB08604
PDK1,L42450,DB08809
ADAM28,AF137334,DB03088
ETFDH,S69232,DB00331
ATP2A1,AK291314,DB00228
PRKCI,L18964,DB12010
bla,J01749,DB09060; DB12107; DB12377
PAEP,J04129,DB03796; DB09462
qacR,X56628,DB01123; DB03808; DB04209
CSNK2A2,M55268,DB12010
COX4I1,M21575,DB02659
MT-CO3,J01415,DB02659
COX5A,M22760,DB02659
COX5B,,DB02659
COX6C,X13238,DB02659
COX7B,Z14244,DB02659
COX7C,X16560,DB02659
COX8A,BC063025,DB02659
COX6A2,M83308,DB02659
COX6B1,X13923,DB02659
COX7A1,M83186,DB02659
PLA2G1B,M21054,DB00795; DB00972; DB02659
DKFZp686P18130,BX571744,DB02659
STMN4,AJ303455,DB01206
,AF369229,DB06290; DB13879
DYRK1A,U58496,DB12010
,L24917,DB03017
,,DB03017
HNF4A,X87870,DB03017
VLDLR,L20470,DB03017
tonB,K00431,DB03017
PLA2G2D,AF112982,DB03017; DB03193
pvdQ,AE004091,DB03017
LY96,AB018549,DB00295; DB03017
pab,X77864,DB00788
SLK,AB002804,DB12010
CLK3,L29220,DB12010
PARP3,Y16836,DB09074; DB12332
EFTUD1,AK023181,DB03619
aldA,M64541,DB03619
ctaD,X62645,DB03619
ctaC,M57680,DB03619
CAMK2A,AF145710,DB12010
CDK16,X66363,DB12010
ncsA,D10996,DB07776
HLA-B,L38504,DB11294
botA,,DB13900
SGK1,Y10032,DB03247
CAMK2D,,DB12010
STK26,AF231012,DB12010
ACOX1,U07866,DB03147
pol,U28646,DB00238; DB00300; DB00495; DB00625; DB00649; DB00705; DB00709; DB00879; DB00900; DB00943; DB01048; DB08864; DB09299; DB11799; DB12301
EPHA7,L36642,DB12010
DAO,X13227,DB03147; DB03793
JAK1,,DB08877; DB08895; DB11817; DB12010; DB12500; DB14845; DB15091; DB15822
TYK2,X54637,DB08895; DB12010
CAMK1G,AF428261,DB12010
ANXA5,,DB00591; DB09130
GSN,X04412,DB01593; DB09130; DB14487
PMP2,X62167,DB03796; DB04224
CFL1,D00682,DB09130
bla,M59181,DB09060; DB12107
ROCK2,D87931,DB12010; DB13931
,AE015928,DB00428
MERTK,U08023,DB12010
RPS6KA1,L07597,DB12010
EEF2,X51466,DB11823; DB12688
PDK4,U54617,DB00755
pbpA,M90527,DB00415; DB00438; DB00456; DB00485; DB00493; DB00567; DB00607; DB00713; DB00739; DB01000; DB01140; DB01331; DB01603
LYN,M16038,DB01254; DB06616; DB08901; DB09079; DB12010
lfrR,AY940437,DB01123
SRPK2,U88666,DB00173
CAMK1D,AB081726,DB12010
STK17B,AB011421,DB12010
pbp1b,AE007317,DB00319; DB00415; DB00456; DB00485; DB00493; DB00567; DB00607; DB00713; DB00739; DB01140; DB01331; DB01603
LCT,X07994,DB04564
IRAK4,AF445802,DB12010
fabI,BX571856,DB08604; DB11155
S100A4,M80563,DB00831; DB09130
AKR1A1,J04794,DB09130
AKR1B10,U37100,DB00605
CAMK2G,BC034044,DB06616; DB12010
MAP3K9,AY327900,DB12010
MT-CYB,M99416,DB01117
nat,,DB00244
pbpG,,DB01331
LSM6,,DB04272
rdxA,,DB00916
HCRT,,DB03088
RTCB,,DB02772
ITPA,,DB04272
PGK1,,DB09130
AMY2B,,DB03088
CS,,DB04272
SERPINB3,,DB03929
TFF2,,DB03088
IGLC1,,DB03088
HLA-DQB1,,DB00071
MB,,DB09112; DB11588
PRKACB,,DB12010
FDXR,,DB03147
KRTAP5-2,,DB03088
M6PR,,DB01272
ISYNA1,,DB09462
TK,,DB00194
ECHS1,,DB09568
GLT6D1,,DB04465
KCNA4,,DB06637
CYB5R1,,DB03147
NCAN,,DB08818
PTS,,DB00688
ACAA1,,DB09069
ITPR1,,DB09462
CEL,,DB04348
DLG4,,DB00536
ATP6V1C1,,DB09552
IDH2,,DB13874
EEF1A1,,DB01593; DB09130; DB14487; DB14533; DB14548
PPT1,,DB03796
TUFM,,DB01593; DB14487; DB14533; DB14548
RORA,,DB04540
EPHB2,,DB12010
CTDSP1,,DB04272
CKS1B,,DB00472
NCS1,,DB11093; DB11348; DB14481
IL4I1,,DB03147; DB04272
ERO1B,,DB03147
HAO2,,DB03247
GFER,,DB03147
UCKL1,,DB01632
PSPH,,DB01593; DB14487; DB14533; DB14548
AURKC,,DB12010
SCLY,,DB00114
VCAN,,DB08818
IGSF10,,DB00114
PGLYRP2,,DB01593; DB09130; DB14487; DB14533; DB14548
RPS6KA4,,DB03247
NAGA,,DB09462
HGS,,DB04272
HCN2,,DB09083
TAOK2,,DB12010
TK2,,DB03312
CPQ,,DB00142
PRDX6,,DB09130
pbp3,,DB00319; DB00415; DB00438; DB00447; DB00456; DB00485; DB00567; DB00607; DB00713; DB00739; DB00833; DB00948; DB01000; DB01140; DB01330; DB01331; DB01603
pbp2a,,DB00319; DB00415; DB00456; DB00485; DB00493; DB00567; DB00607; DB00713; DB00739; DB01147; DB01331; DB01603
pbpB,,DB01147; DB01413; DB06211; DB09050; DB14879
pbpA,,DB00438; DB01413; DB14879
pbpG,,DB00438
rplP,,DB00446
rpsC,,DB00759; DB09093; DB12455
rpsH,,DB00759; DB09093; DB12455
rpsG,,DB00759; DB09093; DB12455
pbp3,,DB01053
CHUK,,DB00233; DB00244; DB00795; DB06151
sulI,,DB00634
FOL1,,DB00634
SMO,,DB01047; DB06786; DB08828; DB09143; DB11978
KRT12,,DB00400; DB11157
CHRNA1,,DB00555
ERG7,,DB00239
fksA,,DB00362; DB00520; DB01141
ERG1,,DB00525; DB00857
CPS1,,DB06775
F12,,DB01593; DB06404; DB06689; DB09228; DB14487
SLC18A1,,DB00206; DB00368; DB01577
FCGR1B,,DB00028
C4A,,DB00028
C4B,,DB00028; DB01593; DB09130; DB14487; DB14533; DB14548
HTR5A,,DB00246; DB00408; DB01238; DB06216
MYC,,DB00945; DB08813
GANAB,,DB00491
GANC,,DB00491
NS3/4A,,DB05521; DB08873; DB09297; DB11575; DB12026
HMMR,,DB08818
PTH2R,,DB05829
SLC29A2,,DB00898
SH2B3,,DB06589
KCNA2,,DB06637
