"","Hugo.Symbol","Entrez.Gene.ID","GRCh37.Isoform","GRCh37.RefSeq","GRCh38.Isoform","GRCh38.RefSeq","X..of.occurrence.within.resources..Column.D.J.","OncoKB.Annotated","Is.Oncogene","Is.Tumor.Suppressor.Gene","MSK.IMPACT","MSK.HEME","FOUNDATION.ONE","FOUNDATION.ONE.HEME","Vogelstein","SANGER.CGC.05.30.2017.","Oncogene_TSG"
"334","NUP93",9688,"ENST00000308159","NM_014669.4","ENST00000308159","NM_014669.4",4,"Yes","No","No","Yes","Yes","No","Yes","No","No","Unkown"
"335","PARP1",142,"ENST00000366794","NM_001618.3","ENST00000366794","NM_001618.3",4,"Yes","No","Yes","Yes","Yes","Yes","No","No","No","TSG"
"336","PHOX2B",8929,"ENST00000226382","NM_003924.3","ENST00000226382","NM_003924.3",4,"Yes","No","Yes","Yes","Yes","No","No","No","Yes","TSG"
"337","PIK3C2G",5288,"ENST00000266497","NM_004570.4","ENST00000433979","NM_004570.4",4,"Yes","No","No","Yes","Yes","Yes","No","No","No","Unkown"
"338","PIK3CG",5294,"ENST00000359195","NM_002649.2","ENST00000359195","NM_002649.2",4,"Yes","Yes","No","Yes","Yes","No","Yes","No","No","Oncogene"
"339","PIK3R2",5296,"ENST00000222254","NM_005027.3","ENST00000222254","NM_005027.3",4,"Yes","No","Yes","Yes","Yes","No","Yes","No","No","TSG"
"340","PLCG2",5336,"ENST00000359376","NM_002661.3","ENST00000564138","NM_002661.3",4,"Yes","Yes","No","Yes","Yes","No","Yes","No","No","Oncogene"
"341","PPM1D",8493,"ENST00000305921","NM_003620.3","ENST00000305921","NM_003620.3",4,"Yes","Yes","No","Yes","Yes","No","No","No","Yes","Oncogene"
"342","PPP6C",5537,"ENST00000373547","NM_002721.4","ENST00000373547","NM_002721.4",4,"Yes","No","Yes","Yes","Yes","No","No","No","Yes","TSG"
"343","PREX2",80243,"ENST00000288368","NM_024870.2","ENST00000288368","NM_024870.2",4,"Yes","No","No","Yes","Yes","No","No","No","Yes","Unkown"
"344","PRKCI",5584,"ENST00000295797","NM_002740.5","ENST00000295797","NM_002740.5",4,"Yes","Yes","No","Yes","Yes","Yes","No","No","No","Oncogene"
"345","PRKN",5071,"ENST00000366898","NM_004562.2","ENST00000366898","NM_004562.2",4,"Yes","No","Yes","Yes","Yes","Yes","No","No","No","TSG"
"346","PTPRT",11122,"ENST00000373198","NM_133170.3","ENST00000373198","NM_133170.3",4,"Yes","No","Yes","Yes","Yes","No","No","No","Yes","TSG"
"347","RAD50",10111,"ENST00000265335","NM_005732.3","ENST00000378823","NM_005732.3",4,"Yes","No","Yes","Yes","Yes","No","Yes","No","No","TSG"
"348","RAD51C",5889,"ENST00000337432","NM_058216.2","ENST00000337432","NM_058216.2",4,"Yes","No","Yes","Yes","Yes","Yes","No","No","No","TSG"
"349","RAD51D",5892,"ENST00000345365","NM_002878","ENST00000345365","NM_002878",4,"Yes","No","Yes","Yes","Yes","Yes","No","No","No","TSG"
"350","RAD52",5893,"ENST00000358495","NM_134424.2","ENST00000358495","NM_134424.2",4,"Yes","No","No","Yes","Yes","Yes","No","No","No","Unkown"
"351","RAD54L",8438,"ENST00000371975","NM_001142548.1","ENST00000371975","NM_001142548.1",4,"Yes","No","No","Yes","Yes","Yes","No","No","No","Unkown"
"352","RECQL4",9401,"ENST00000428558","ENST00000428558","ENST00000617875","ENST00000428558",4,"Yes","No","Yes","Yes","Yes","No","No","No","Yes","TSG"
"353","RUNX1T1",862,"ENST00000265814","NM_001198626.1","ENST00000265814","NM_001198626.1",4,"Yes","Yes","No","No","Yes","No","Yes","No","Yes","Oncogene"
"354","SDHAF2",54949,"ENST00000301761","NM_017841.2","ENST00000301761","NM_017841.2",4,"Yes","No","Yes","Yes","Yes","No","No","No","Yes","TSG"
"355","SGK1",6446,"ENST00000237305","NM_005627.3","ENST00000237305","NM_005627.3",4,"Yes","Yes","No","No","Yes","Yes","Yes","No","No","Oncogene"
"356","SH2B3",10019,"ENST00000341259","NM_005475.2","ENST00000341259","NM_005475.2",4,"Yes","No","Yes","Yes","Yes","No","No","No","Yes","TSG"
"357","SMAD3",4088,"ENST00000327367","NM_005902.3","ENST00000327367","NM_005902.3",4,"Yes","No","Yes","Yes","Yes","No","No","No","Yes","TSG"
"358","SMARCD1",6602,"ENST00000394963","NM_003076.4","ENST00000394963","NM_003076.4",4,"Yes","No","No","Yes","Yes","No","No","No","Yes","Unkown"
"359","STAT5A",6776,"ENST00000345506","NM_003152.3","ENST00000345506","NM_003152.3",4,"Yes","Yes","No","Yes","Yes","No","Yes","No","No","Oncogene"
"360","STAT6",6778,"ENST00000300134","NM_001178078.1","ENST00000300134","NM_001178078.1",4,"Yes","Yes","No","No","Yes","No","Yes","No","Yes","Oncogene"
"361","TBL1XR1",79718,"ENST00000430069","NM_024665.4","ENST00000430069","NM_024665.4",4,"Yes","No","Yes","No","Yes","No","Yes","No","Yes","TSG"
