gene	gene_MoA
HIST1H3C	ambiguous
HIST1H3D	ambiguous
HIST1H3E	ambiguous
HIST1H3F	ambiguous
HIST1H3G	ambiguous
HIST1H3H	ambiguous
HIST1H3I	ambiguous
HIST1H3J	ambiguous
HLA-A	ambiguous
HLA-B	ambiguous
HLF	Act
HNF1A	LoF
HNRPDL	LoF
HRAS	Act
HSP90AA1	Act
HSP90AB1	Act
HSPA8	Act
IDH1	Act
IDH2	Act
IGF2R	LoF
IKBKB	ambiguous
IKZF1	ambiguous
IKZF3	ambiguous
IL6ST	Act
IL7R	Act
ING1	LoF
ING2	LoF
INHBA	ambiguous
INPP4A	LoF
INPP4B	LoF
INPPL1	LoF
IREB2	Act
IRF1	LoF
IRF2	LoF
IRF4	ambiguous
IRF6	ambiguous
IRF7	Act
IRF8	ambiguous
IRS2	LoF
ITGA9	Act
ITSN1	LoF
JAGN1	ambiguous
JAK1	ambiguous
JAK2	ambiguous
JAK3	Act
JMY	ambiguous
KANSL1	LoF
KAT6B	Act
KAT8	ambiguous
KCNJ5	ambiguous
KDM1A	ambiguous
KDM5C	LoF
KDM6A	LoF
KDR	Act
KEAP1	Act
KIT	Act
KLF4	Act
KLF6	LoF
KRAS	Act
LCP1	Act
LDHA	LoF
LEP	ambiguous
LIMA1	LoF
LMO1	Act
LNPEP	ambiguous
LRP6	Act
LRPPRC	LoF
LZTS1	LoF
MACF1	Act
MAD1L1	LoF
MAGI2	Act
MAP2K1	Act
MAP2K2	Act
MAP2K4	LoF
MAP3K1	LoF
MAP3K11	ambiguous
MAP3K13	ambiguous
MAP3K4	Act
MAP4K1	Act
MAP4K3	LoF
MARK2	ambiguous
MAT2A	ambiguous
MAX	Act
MCC	LoF
MCM3	Act
MCM8	Act
MECOM	Act
MED12	Act
MED17	Act
MED23	LoF
MED24	ambiguous
MEF2C	Act
MEN1	LoF
MET	Act
MFNG	Act
MGA	LoF
MGMT	Act
MITF	Act
MKL1	Act
MLH1	LoF
MLH3	LoF
MLL	Act
MLL2	LoF
MLL3	LoF
MLLT4	Act
MMP2	Act
MNDA	ambiguous
MPL	Act
MRE11A	ambiguous
MSH2	LoF
MSH3	LoF
MSH6	LoF
MSR1	LoF
MTOR	Act
MUC20	LoF
MUC4	ambiguous
MUTYH	LoF
MYB	Act
MYC	Act
MYCN	Act
MYD88	Act
MYH10	Act
MYH11	Act
MYH14	Act
MYH9	Act
MYOD1	ambiguous
NAP1L1	LoF
NBN	LoF
NCF2	ambiguous
NCK1	Act
NCKAP1	LoF
NCOR1	LoF
NCOR2	Act
NDRG1	Act
NEDD4L	Act
NF1	LoF
NF2	LoF
NFATC4	LoF
NFE2L2	Act
NFKBIE	ambiguous
NKX3-1	ambiguous
NOTCH1	ambiguous
NOTCH2	ambiguous
NPM1	ambiguous
NR2F2	Act
NR4A2	LoF
NRAS	Act
NSD1	Act
NT5C2	ambiguous
NTRK1	Act
NTRK2	Act
NUP107	Act
NUP93	LoF
NUP98	Act
OGG1	ambiguous
OPCML	LoF
PABPC1	ambiguous
PABPC3	ambiguous
PALB2	LoF
PAX5	Act
PBRM1	LoF
PCBP1	Act
PCSK6	Act
PDGFRA	Act
PDGFRL	LoF
PER1	Act
PGR	Act
PHF6	LoF
PHOX2B	LoF
PIK3C2B	Act
PIK3CA	Act
PIK3CB	Act
PIK3CD	Act
PIK3R1	LoF
PIK3R2	LoF
PIK3R3	Act
PIP5K1A	ambiguous
PLCG1	Act
PLCG2	ambiguous
PLXNA1	Act
PLXNB2	Act
PMS1	LoF
PMS2	LoF
POLE	ambiguous
POLR2B	Act
POM121	Act
POT1	ambiguous
PPARG	Act
PPM1D	LoF
PPP2R1A	Act
PPP2R5A	LoF
PPP2R5C	Act
PPP6C	LoF
PRDM1	LoF
PRF1	LoF
PRKAA1	ambiguous
PRKAR1A	LoF
PRKCZ	ambiguous
PRPF8	Act
PRRX1	Act
PSIP1	Act
PSMA2	ambiguous
